Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
     69 | (155,176)=158(151,176)= 0(151,176)= 0(143,175)= 0(140,175)= 0(136,175)= 0(132,175)= 0(128,174)= 0(124,174)= 0(121,174)= 0
     70 | (209,148)=155(205,148)= 0(205,148)= 0(197,148)= 0(192,148)= 0(188,148)= 0(184,148)= 0(180,148)= 0(176,148)= 0(172,148)= 0
     71 | ( 54,109)=136( 49,109)= 0( 49,109)= 0( 40,109)= 0( 35,109)= 0( 31,108)= 0( 26,108)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     72 | (195,137)=134(191,138)= 0(191,138)= 0(183,138)= 0(179,137)= 0(175,138)= 0(171,138)= 0(167,138)= 0(163,138)= 0(159,138)= 0
     73 | (193,192)=124(188,192)= 0(188,192)= 0(178,192)= 0(173,192)= 0(169,192)= 0(164,192)= 0(159,192)= 0(154,192)= 0(149,192)= 0
     74 | (100, 25)=109( 97, 25)= 0( 97, 25)= 0( 92, 25)= 0( 89, 25)= 0( 86, 25)= 0( 84, 25)= 0( 81, 25)= 0( 78, 25)= 0( 76, 25)= 0
     75 | (183,192)=92(178,192)= 0(178,192)= 0(169,192)= 0(164,192)= 0(160,192)= 0(155,192)= 0(150,192)= 0(146,191)= 0(141,191)= 0
     76 | (120,155)=88(117,155)= 0(117,155)= 0(111,155)= 0(109,155)= 0(106,155)= 0(103,155)= 0(100,155)= 0( 98,155)= 0( 95,154)= 0
     77 | (164,139)=76(160,139)= 0(160,139)= 0(153,139)= 0(149,139)= 0(145,139)= 0(142,139)= 0(138,139)= 0(134,139)= 0(131,139)= 0
     78 | (145,172)=67(141,172)= 0(141,172)= 0(134,172)= 0(130,173)= 0(126,173)= 0(122,173)= 0(118,173)= 0(114,174)= 0(111,174)= 0
     79 | (110,171)=66(107,171)= 0(107,171)= 0(101,171)= 0( 98,171)= 0( 96,170)= 0( 93,170)= 0( 90,170)= 0( 87,170)= 0( 84,170)= 0
     80 | (171,119)=64(168,118)= 0(168,118)= 0(163,117)= 0(161,116)= 0(158,116)= 0(155,115)= 0(153,115)= 0(150,114)= 0(147,114)= 0
     81 | (144,112)=63(142,112)= 0(142,112)= 0(138,112)= 0(135,112)= 0(133,112)= 0(131,112)= 0(129,112)= 0(127,112)= 0(125,112)= 0
     82 | ( 54, 74)=54( 50, 74)= 0( 50, 74)= 0( 40, 74)= 0( 36, 74)= 0( 31, 74)= 0( 27, 74)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     83 | (177,140)=50(173,140)= 0(173,140)= 0(165,140)= 0(162,140)= 0(158,140)= 0(154,140)= 0(150,140)= 0(146,140)= 0(143,140)= 0
     84 | (165,170)=49(161,170)= 0(161,170)= 0(153,169)= 0(150,168)= 0(146,168)= 0(142,167)= 0(138,167)= 0(134,167)= 0(131,166)= 0
     85 | ( 96, 80)=46( 92, 80)= 0( 92, 80)= 0( 83, 79)= 0( 80, 79)= 0( 77, 79)= 0( 74, 79)= 0( 71, 79)= 0( 68, 79)= 0( 66, 79)= 0
     86 | (173,160)=43(169,160)= 0(169,160)= 0(161,159)= 0(157,159)= 0(154,158)= 0(150,158)= 0(146,157)= 0(142,157)= 0(139,157)= 0
     87 | ( 52, 53)=40( 50, 52)= 0( 50, 52)= 0( 44, 54)= 0( 41, 55)= 0( 39, 54)= 0( 36, 54)= 0( 34, 55)= 0( 31, 57)= 0( 28, 58)= 0
     88 | (121,125)=38(118,125)= 0(118,125)= 0(112,125)= 0(110,125)= 0(107,125)= 0(104,125)= 0(101,125)= 0( 98,125)= 0( 95,125)= 0
     89 | (159,154)=31(155,154)= 0(155,154)= 0(148,154)= 0(144,154)= 0(140,154)= 0(137,154)= 0(133,153)= 0(129,154)= 0(125,153)= 0
     90 | ( 57, 31)=30( 53, 34)= 0( 53, 34)= 0( 49, 32)= 0( 46, 33)= 0( 43, 33)= 0( 41, 33)= 0( 38, 33)= 0( 36, 32)= 0( 34, 31)= 0
     91 | (175,173)=27(171,173)= 0(171,173)= 0(162,173)= 0(158,173)= 0(154,172)= 0(149,172)= 0(145,173)= 0(141,172)= 0(136,172)= 0
     92 | (106, 85)=26(103, 85)= 0(103, 85)= 0( 97, 85)= 0( 94, 85)= 0( 92, 85)= 0( 89, 85)= 0( 87, 85)= 0( 84, 85)= 0( 81, 85)= 0
     93 | (155,166)=24(151,166)= 0(151,166)= 0(143,166)= 0(140,166)= 0(136,166)= 0(132,166)= 0(128,165)= 0(124,166)= 0(120,165)= 0
     94 | ( 54, 41)=20( 51, 41)= 0( 51, 41)= 0( 46, 41)= 0( 44, 40)= 0( 41, 42)= 0( 38, 42)= 0( 36, 42)= 0( 34, 40)= 0( 31, 41)= 0
     95 | ( 10, 10)=18( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     96 | ( 66, 70)=17( 62, 70)= 0( 62, 70)= 0( 53, 70)= 0( 49, 70)= 0( 45, 70)= 0( 42, 70)= 0( 39, 70)= 0( 36, 70)= 0( 32, 70)= 0
     97 | ( 20, 76)=16( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     98 | ( 10, 86)=14( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     99 | ( 93, 15)=13( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    100 | (185,165)=13(181,165)= 0(181,165)= 0(172,165)= 0(168,165)= 0(163,165)= 0(159,165)= 0(155,165)= 0(151,165)= 0(146,165)= 0
    101 | ( 41,109)=13( 36,109)= 0( 36,109)= 0( 27,109)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    102 | (175,150)=13(171,150)= 0(171,150)= 0(163,150)= 0(159,150)= 0(156,150)= 0(152,150)= 0(148,150)= 0(144,150)= 0(140,150)= 0
    103 | ( 99, 52)=11( 96, 52)= 0( 96, 52)= 0( 91, 52)= 0( 88, 52)= 0( 85, 52)= 0( 83, 52)= 0( 80, 52)= 0( 77, 52)= 0( 75, 52)= 0
    104 | ( 42, 68)=11( 38, 68)= 0( 38, 68)= 0( 31, 68)= 0( 27, 67)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    105 | ( 10, 97)= 8( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    106 | ( 10, 44)= 7( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    107 | ( 33, 87)= 6( 28, 87)= 0( 28, 87)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    108 | ( 18, 22)= 5( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    109 | (108, 13)= 4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    110 | ( 10, 34)= 4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    111 | (110,181)= 3(106,181)= 0(106,181)= 0(101,181)= 0( 97,181)= 0( 93,181)= 0( 90,181)= 0( 86,181)= 0( 86,180)= 0( 82,180)= 0
    112 | ( 39, 44)= 3( 38, 41)= 0( 38, 41)= 0( 34, 40)= 0( 32, 40)= 0( 29, 38)= 0( 29, 41)= 0( 27, 37)= 0( 25, 33)= 0( -1, -1)=-4
    113 | ( 37, 10)= 3( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    114 | ( 10,107)= 3( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    115 | ( 48, 16)= 2( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    116 | ( 41, 32)= 2( 40, 30)= 0( 40, 30)= 0( 37, 30)= 0( 35, 31)= 0( 33, 31)= 0( 32, 31)= 0( 30, 31)= 0( 30, 32)= 0( 29, 30)= 0
    117 | ( 22, 46)= 2( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    118 | ( 80, 30)= 2( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3
    119 | ( 41, 54)= 2( 38, 52)= 0( 38, 52)= 0( 36, 52)= 0( 35, 53)= 0( 33, 53)= 0( 31, 51)= 0( 29, 50)= 0( 26, 49)= 0( 24, 46)= 0
    120 | ( 71, 90)= 2( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3
    121 | ( 37, 21)= 1( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    122 | ( 23, 10)= 1( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    123 | ( 25, 35)= 1( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3
    124 | ( 76, 80)= 1( 71, 81)= 0( 71, 81)= 0( 62, 80)= 0( 57, 79)= 0( 53, 79)= 0( 48, 79)= 0( 43, 76)= 0( 39, 76)= 0( 34, 76)= 0
    125 | ( 56, 87)= 1( 50, 86)= 0( 50, 86)= 0( 40, 85)= 0( 35, 85)= 0( 32, 83)= 0( 30, 80)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    126 | ( 23, 91)= 1( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    127 | ( 31, 56)= 1( 30, 55)= 0( 30, 55)= 0( 26, 53)= 0( 25, 56)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    128 | ( 81, 96)= 1( 76, 97)= 0( 76, 97)= 0( 67, 90)= 0( 62, 91)= 0( 58, 92)= 0( 53, 94)= 0( -1, -1)=-3( -1, -1)=-3( -1, -1)=-3
    129 | ( 20,102)= 1( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
    130 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    131 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    132 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    133 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    134 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    135 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    136 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    137 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    138 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    139 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    140 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
    141 | ( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1( -1, -1)=-1
