Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |           0           1           2           3           4           5           6           7           8           9
--------+-------------------------------------------------------------------------------------------------------------------------
      0 | ( 86, 71)=30785( 81, 71)= 0( 81, 71)= 0( 72, 71)= 0( 68, 71)= 0( 63, 71)= 0( 59, 71)= 0( 54, 71)= 0( 50, 70)= 0( 46, 70)= 0
      1 | ( 83, 20)=18064( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
      2 | (150,122)=16856(148,122)= 0(148,122)= 0(144,122)= 0(141,122)= 0(139,122)= 0(137,122)= 0(135,122)= 0(133,122)= 0(131,122)= 0
      3 | (138,122)=15954(135,122)= 0(135,122)= 0(130,122)= 0(128,122)= 0(125,122)= 0(123,122)= 0(121,122)= 0(118,122)= 0(116,122)= 0
      4 | (173,189)=15545(168,189)= 0(168,189)= 0(159,189)= 0(154,189)= 0(150,188)= 0(145,188)= 0(141,188)= 0(136,188)= 0(132,188)= 0
      5 | (111,112)=15398(108,112)= 0(108,112)= 0(102,112)= 0( 99,112)= 0( 96,112)= 0( 94,112)= 0( 91,112)= 0( 88,112)= 0( 85,112)= 0
      6 | (112,141)=14339(109,141)= 0(109,141)= 0(103,141)= 0(100,141)= 0( 98,141)= 0( 95,141)= 0( 92,141)= 0( 89,140)= 0( 86,140)= 0
      7 | ( 92, 90)=13192( 87, 90)= 0( 87, 90)= 0( 78, 90)= 0( 74, 90)= 0( 69, 90)= 0( 65, 90)= 0( 60, 90)= 0( 56, 90)= 0( 52, 90)= 0
      8 | (131,207)=11096(127,207)= 0(127,207)= 0(119,207)= 0(114,207)= 0(110,206)= 0(106,206)= 0(101,206)= 0( 97,206)= 0( 93,206)= 0
      9 | ( 52, 64)=10204( 50, 64)= 0( 50, 64)= 0( 44, 64)= 0( 42, 64)= 0( 39, 64)= 0( 37, 64)= 0( 34, 64)= 0( 32, 64)= 0( 29, 64)= 0
     10 | (160,195)=10007(155,195)= 0(155,195)= 0(146,195)= 0(142,195)= 0(137,194)= 0(132,194)= 0(128,194)= 0(124,194)= 0(119,194)= 0
     11 | (118,208)=8061(114,208)= 0(114,208)= 0(107,208)= 0(103,208)= 0( 99,208)= 0( 95,208)= 0( 92,208)= 0( 88,207)= 0( 84,207)= 0
     12 | ( 92,104)=7224( 87,104)= 0( 87,104)= 0( 78,103)= 0( 74,103)= 0( 69,102)= 0( 65,102)= 0( 60,102)= 0( 56,101)= 0( 51,101)= 0
     13 | (133,154)=6685(130,154)= 0(130,154)= 0(125,154)= 0(122,154)= 0(119,153)= 0(117,153)= 0(114,153)= 0(111,153)= 0(109,153)= 0
     14 | ( 62, 21)=6328( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     15 | (204,198)=6211(199,198)= 0(199,198)= 0(188,198)= 0(183,198)= 0(177,198)= 0(172,198)= 0(167,198)= 0(161,198)= 0(156,197)= 0
     16 | (183,115)=4869(181,114)= 0(181,114)= 0(177,113)= 0(174,113)= 0(172,113)= 0(169,113)= 0(165,113)= 0(162,113)= 0(158,113)= 0
     17 | (170,204)=4468(165,204)= 0(165,204)= 0(155,204)= 0(151,204)= 0(146,204)= 0(141,204)= 0(136,204)= 0(131,203)= 0(127,203)= 0
     18 | (111,131)=4337(108,131)= 0(108,131)= 0(102,131)= 0( 99,131)= 0( 97,131)= 0( 94,131)= 0( 91,131)= 0( 88,130)= 0( 85,130)= 0
     19 | ( 32, 71)=3534( 27, 71)= 0( 27, 71)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     20 | (160,118)=3401(158,118)= 0(158,118)= 0(153,118)= 0(151,118)= 0(149,118)= 0(147,118)= 0(145,118)= 0(143,118)= 0(141,118)= 0
     21 | (121,115)=3281(118,115)= 0(118,115)= 0(112,115)= 0(110,115)= 0(107,115)= 0(104,115)= 0(101,115)= 0( 98,115)= 0( 96,115)= 0
     22 | ( 19, 66)=3236( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     23 | ( 95, 42)=3223( 92, 42)= 0( 92, 42)= 0( 87, 42)= 0( 84, 42)= 0( 82, 42)= 0( 79, 42)= 0( 77, 42)= 0( 74, 42)= 0( 72, 42)= 0
     24 | ( 31,105)=3129( 26,105)= 0( 26,105)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     25 | (203,187)=3114(198,187)= 0(198,187)= 0(188,187)= 0(182,187)= 0(177,187)= 0(172,187)= 0(167,187)= 0(162,186)= 0(157,186)= 0
     26 | (109, 58)=2749(106, 58)= 0(106, 58)= 0(101, 58)= 0( 98, 59)= 0( 96, 59)= 0( 93, 59)= 0( 91, 59)= 0( 89, 59)= 0( 86, 59)= 0
     27 | (169,129)=2406(165,129)= 0(165,129)= 0(158,130)= 0(154,130)= 0(150,130)= 0(147,130)= 0(143,130)= 0(140,130)= 0(136,130)= 0
     28 | (134,197)=2403( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5( -1, -1)=-5
     29 | (193,117)=2375(190,117)= 0(190,117)= 0(183,117)= 0(180,117)= 0(177,118)= 0(174,118)= 0(171,118)= 0(168,118)= 0(164,118)= 0
     30 | (154,140)=2109(150,140)= 0(150,140)= 0(143,140)= 0(140,140)= 0(136,140)= 0(132,140)= 0(129,139)= 0(126,139)= 0(122,139)= 0
     31 | (134,168)=2068(131,168)= 0(131,168)= 0(126,168)= 0(123,168)= 0(120,168)= 0(117,168)= 0(114,168)= 0(110,168)= 0(107,168)= 0
     32 | (108, 40)=1968(105, 40)= 0(105, 40)= 0(100, 40)= 0( 97, 40)= 0( 94, 40)= 0( 92, 40)= 0( 89, 40)= 0( 87, 40)= 0( 84, 40)= 0
     33 | (131,133)=1936(128,133)= 0(128,133)= 0(123,133)= 0(120,132)= 0(117,132)= 0(115,132)= 0(112,132)= 0(110,132)= 0(107,131)= 0
     34 | (134,110)=1798(131,110)= 0(131,110)= 0(126,110)= 0(123,110)= 0(120,110)= 0(118,110)= 0(115,110)= 0(112,110)= 0(109,110)= 0
     35 | (139,183)=1697(135,183)= 0(135,183)= 0(128,184)= 0(124,184)= 0(120,184)= 0(116,185)= 0(112,185)= 0(109,184)= 0(105,184)= 0
     36 | ( 83, 10)=1686( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     37 | ( 72, 18)=1610( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     38 | (208,158)=1228(204,158)= 0(204,158)= 0(195,158)= 0(191,158)= 0(187,158)= 0(183,158)= 0(179,158)= 0(174,158)= 0(170,158)= 0
     39 | (190,182)=1143(186,182)= 0(186,182)= 0(177,182)= 0(173,181)= 0(168,181)= 0(164,181)= 0(160,181)= 0(155,181)= 0(151,181)= 0
     40 | (131,143)=1086(128,143)= 0(128,143)= 0(123,142)= 0(120,142)= 0(117,142)= 0(115,142)= 0(112,142)= 0(109,141)= 0(107,141)= 0
     41 | (203,115)=1065(199,115)= 0(199,115)= 0(191,115)= 0(187,115)= 0(183,115)= 0(179,115)= 0(176,115)= 0(172,115)= 0(168,115)= 0
     42 | (187,204)=984( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     43 | (195,172)=879(191,172)= 0(191,172)= 0(182,172)= 0(177,172)= 0(173,172)= 0(169,172)= 0(164,172)= 0(160,172)= 0(156,171)= 0
     44 | (197,127)=819(193,127)= 0(193,127)= 0(186,127)= 0(182,127)= 0(178,127)= 0(174,127)= 0(171,126)= 0(167,126)= 0(163,126)= 0
     45 | (141,207)=810(137,207)= 0(137,207)= 0(128,207)= 0(124,206)= 0(120,206)= 0(115,206)= 0(111,206)= 0(107,206)= 0(103,205)= 0
     46 | (209,132)=775(205,132)= 0(205,132)= 0(197,132)= 0(193,132)= 0(188,132)= 0(184,132)= 0(180,132)= 0(176,132)= 0(172,132)= 0
     47 | (158,205)=522(153,205)= 0(153,205)= 0(144,205)= 0(139,205)= 0(135,204)= 0(130,204)= 0(125,204)= 0(121,204)= 0(116,204)= 0
     48 | (206,208)=492(200,208)= 0(200,208)= 0( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     49 | ( 79,109)=376( 74,109)= 0( 74,109)= 0( 65,109)= 0( 60,109)= 0( 55,108)= 0( 50,108)= 0( 46,108)= 0( 41,108)= 0( 37,108)= 0
     50 | ( 76, 69)=359( 72, 69)= 0( 72, 69)= 0( 63, 69)= 0( 58, 69)= 0( 54, 69)= 0( 49, 68)= 0( 44, 68)= 0( 40, 68)= 0( 36, 68)= 0
     51 | ( 90, 31)=344( 87, 31)= 0( 87, 31)= 0( 82, 31)= 0( 79, 31)= 0( 77, 31)= 0( 74, 31)= 0( 72, 31)= 0( 69, 31)= 0( 66, 31)= 0
     52 | (208,176)=309(204,176)= 0(204,176)= 0(195,176)= 0(191,176)= 0(186,176)= 0(182,176)= 0(178,176)= 0(173,176)= 0(169,176)= 0
     53 | (141,142)=299(138,142)= 0(138,142)= 0(133,142)= 0(131,142)= 0(128,142)= 0(124,142)= 0(121,142)= 0(118,141)= 0(116,139)= 0
     54 | (185,155)=286(181,155)= 0(181,155)= 0(172,155)= 0(168,155)= 0(164,155)= 0(160,154)= 0(156,154)= 0(152,154)= 0(147,154)= 0
     55 | (183,125)=280(179,125)= 0(179,125)= 0(172,125)= 0(169,125)= 0(165,125)= 0(162,125)= 0(159,125)= 0(155,125)= 0(151,125)= 0
     56 | (110,158)=226(107,158)= 0(107,158)= 0(101,158)= 0( 99,158)= 0( 96,158)= 0( 93,157)= 0( 90,157)= 0( 87,157)= 0( 84,157)= 0
     57 | (102, 95)=222( 99, 95)= 0( 99, 95)= 0( 93, 95)= 0( 90, 95)= 0( 87, 95)= 0( 85, 95)= 0( 82, 95)= 0( 79, 95)= 0( 76, 95)= 0
     58 | (124,197)=214(120,197)= 0(120,197)= 0(113,198)= 0(109,198)= 0(106,198)= 0(102,198)= 0( 98,198)= 0( 94,198)= 0( 91,198)= 0
     59 | (196,156)=203(192,156)= 0(192,156)= 0(183,156)= 0(179,156)= 0(175,155)= 0(171,155)= 0(167,155)= 0(163,155)= 0(159,155)= 0
     60 | ( 16, 56)=202( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     61 | ( 62, 10)=190( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     62 | ( 10, 76)=188( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4( -1, -1)=-4
     63 | (149,186)=184(145,186)= 0(145,186)= 0(137,185)= 0(133,185)= 0(129,185)= 0(125,185)= 0(121,185)= 0(117,185)= 0(113,184)= 0
     64 | (120,173)=174(117,173)= 0(117,173)= 0(112,173)= 0(109,173)= 0(106,173)= 0(103,172)= 0(101,172)= 0( 98,172)= 0( 95,172)= 0
     65 | (141,132)=172(138,132)= 0(138,132)= 0(133,132)= 0(130,131)= 0(129,132)= 0(127,132)= 0(125,132)= 0(123,132)= 0(120,132)= 0
     66 | ( 65,109)=171( 60,109)= 0( 60,109)= 0( 51,109)= 0( 46,109)= 0( 41,108)= 0( 37,108)= 0( 32,108)= 0( 28,108)= 0( -1, -1)=-4
     67 | (147,197)=163(143,197)= 0(143,197)= 0(134,196)= 0(131,196)= 0(126,196)= 0(122,196)= 0(118,195)= 0(114,195)= 0(110,195)= 0
     68 | (149,153)=159(145,152)= 0(145,152)= 0(138,152)= 0(135,152)= 0(131,151)= 0(128,151)= 0(124,151)= 0(121,150)= 0(117,150)= 0
